School Name,City,State,District Name,2010/11/Award Amount,Model Selected
EDEN PARK ELEMENTARY SCHOOL,IMMOKALEE,FL,COLLIER,617334.00,Transformation
WEST GADSDEN HIGH SCHOOL,GREENSBORO,FL,GADSDEN,737977.00,Transformation
MIAMI EDISON SENIOR HIGH SCHOOL,MIAMI,FL,DADE,618351.00,Turnaround
MADISON COUNTY HIGH SCHOOL,MADISON,FL,MADISON,515138.00,Transformation
SUNLAND PARK ELEMENTARY SCHOOL,FORT LAUDERDALE,FL,BROWARD,713746.00,Transformation
NATHAN B. FORREST HIGH SCHOOL,JACKSONVILLE,FL,DUVAL,759293.00,Transformation
OSCAR J. POPE ELEMENTARY SCHOOL,LAKELAND,FL,POLK,736088.00,Transformation
NORTH MIAMI MIDDLE SCHOOL,NORTH MIAMI,FL,DADE,440823.00,Transformation
JEFFERSON COUNTY MIDDLE/HIGH SCHOOL,MONTICELLO,FL,JEFFERSON,647552.00,Transformation
LONG BRANCH ELEMENTARY SCHOOL,JACKSONVILLE,FL,DUVAL,500000.00,Turnaround
BOCA CIEGA HIGH SCHOOL,GULFPORT,FL,PINELLAS,500000.00,Transformation
PINE VILLA ELEMENTARY SCHOOL,MIAMI,FL,DADE,267620.00,Transformation
HERNANDO HIGH SCHOOL,BROOKSVILLE,FL,HERNANDO,737052.00,Transformation
ANDREW JACKSON HIGH SCHOOL,JACKSONVILLE,FL,DUVAL,636816.00,Turnaround
LAKE WORTH HIGH SCHOOL,LAKE WORTH,FL,PALM BEACH,10496.00,Transformation
HOLMES ELEMENTARY SCHOOL,MIAMI,FL,DADE,276644.00,Transformation
HAMILTON COUNTY HIGH SCHOOL,JASPER,FL,HAMILTON,698427.00,Transformation
OAK RIDGE HIGH SCHOOL,ORLANDO,FL,ORANGE,652965.00,Transformation
MIAMI NORTHWESTERN SENIOR HIGH,MIAMI,FL,DADE,796553.00,Turnaround
IMMOKALEE HIGH SCHOOL,IMMOKALEE,FL,COLLIER,567148.00,Transformation
WARRINGTON MIDDLE SCHOOL,PENSACOLA,FL,ESCAMBIA,759293.00,Turnaround
MIAMI CENTRAL SENIOR HIGH SCHOOL,MIAMI,FL,DADE,784700.00,Turnaround
WILLISTON HIGH SCHOOL,WILLISTON,FL,LEVY,651787.00,Transformation
MARJORIE KINNAN RAWLINGS ELEMENTARY SCHOOL,GAINESVILLE,FL,ALACHUA,627776.00,Transformation
WILLIAM M. RAINES HIGH SCHOOL,JACKSONVILLE,FL,DUVAL,676989.00,Turnaround
LAKEWOOD HIGH SCHOOL,ST PETERSBURG,FL,PINELLAS,500000.00,Transformation
MIAMI EDISON MIDDLE SCHOOL,MIAMI,FL,DADE,407497.00,Turnaround
MIDDLETON HIGH SCHOOL,TAMPA,FL,HILLSBOROUGH,759293.00,Transformation
JEAN RIBAULT HIGH SCHOOL,JACKSONVILLE,FL,DUVAL,713451.00,Turnaround
RIDGEWOOD HIGH SCHOOL,NEW PORT RICHEY,FL,PASCO,759293.00,Transformation
NORTH COUNTY ELEMENTARY SCHOOL,MIAMI GARDENS,FL,DADE,251911.00,Turnaround
CLEWISTON HIGH SCHOOL,CLEWISTON,FL,HENDRY,759293.00,Transformation
BOOKER T. WASHINGTON SENIOR HIGH,MIAMI,FL,DADE,644329.00,Turnaround
CELEBRATION HIGH SCHOOL,CELEBRATION,FL,OSCEOLA,660025.00,Transformation
FREDERICK R. DOUGLASS ELEMENTARY,MIAMI,FL,DADE,344819.00,Turnaround
CENTRAL HAMILTON ELEMENTARY SCHOOL,JASPER,FL,HAMILTON,518789.00,Transformation
EVANS HIGH SCHOOL,ORLANDO,FL,ORANGE,652792.00,Transformation
MIAMI NORLAND SENIOR HIGH SCHOOL,MIAMI,FL,DADE,742472.00,Turnaround
COCONUT CREEK HIGH SCHOOL,COCONUT CREEK,FL,BROWARD,713746.00,Transformation
A. PHILIP RANDOLPH ACADEMIES,JACKSONVILLE,FL,DUVAL,697645.00,Transformation
MIAMI CAROL CITY SENIOR HIGH,OPA-LOCKA,FL,DADE,997322.00,Transformation
AMOS P. GODBY HIGH SCHOOL,TALLAHASSEE,FL,LEON,628602.00,Transformation
HAWTHORNE MIDDLE/HIGH SCHOOL,HAWTHORNE,FL,ALACHUA,635832.00,Transformation
NORTHWESTERN MIDDLE SCHOOL,JACKSONVILLE,FL,DUVAL,500000.00,Transformation
GIBBS HIGH SCHOOL,ST PETERSBURG,FL,PINELLAS,500000.00,Transformation
CHARLES R. DREW MIDDLE SCHOOL,MIAMI,FL,DADE,369914.00,Turnaround
FRANKLIN MIDDLE MAGNET SCHOOL,TAMPA,FL,HILLSBOROUGH,759293.00,Transformation
PAXON MIDDLE SCHOOL,JACKSONVILLE,FL,DUVAL,633527.00,Turnaround
ROSENWALD ELEMENTARY SCHOOL,SOUTH BAY,FL,PALM BEACH,506738.00,Transformation
BURKE COUNTY HIGH SCHOOL,WAYNESBORO,GA,BURKE COUNTY,115158.00,Transformation
WILLIAM S. HUTCHINGS CAREER CENTER,MACON,GA,BIBB COUNTY,955121.00,Transformation
LANEY HIGH SCHOOL,AUGUSTA,GA,RICHMOND COUNTY,115976.00,Turnaround
CRIM HIGH SCHOOL,ATLANTA,GA,ATLANTA PUBLIC SCHOOLS,11667.00,Transformation
PEACH COUNTY HIGH SCHOOL,FORT VALLEY,GA,PEACH COUNTY,185136.00,Transformation
GRIFFIN HIGH SCHOOL,GRIFFIN,GA,SPALDING COUNTY,144427.00,Transformation
DADE COUNTY HIGH SCHOOL,TRENTON,GA,DADE COUNTY,942738.00,Transformation
GLENN HILLS HIGH SCHOOL,AUGUSTA,GA,RICHMOND COUNTY,107896.00,Transformation
DOUGLASS HIGH SCHOOL,ATLANTA,GA,ATLANTA PUBLIC SCHOOLS,788579.00,Transformation
JORDAN VOCATIONAL HIGH SCHOOL,COLUMBUS,GA,MUSCOGEE COUNTY,146453.00,Transformation
DOOLY COUNTY HIGH SCHOOL,VIENNA,GA,DOOLY COUNTY,139306.00,Transformation
BEACH HIGH SCHOOL,SAVANNAH,GA,CHATHAM COUNTY,122676.00,Turnaround
RIDGELAND HIGH SCHOOL,ROSSVILLE,GA,WALKER COUNTY,147015.00,Transformation
SOUTHWEST HIGH SCHOOL,MACON,GA,BIBB COUNTY,119812.00,Transformation
JOSEY HIGH SCHOOL,AUGUSTA,GA,RICHMOND COUNTY,102187.00,Transformation
GEORGIA SCHOOL FOR THE DEAF,CAVE SPRING,GA,STATE SCHOOLS,101486.00,Transformation
SPENCER HIGH SCHOOL,COLUMBUS,GA,MUSCOGEE COUNTY,164154.00,Transformation
MCNAIR HIGH SCHOOL,ATLANTA,GA,DEKALB COUNTY,868746.00,Transformation
TEMPLE HIGH SCHOOL,TEMPLE,GA,CARROLL COUNTY,105401.00,Transformation
RUTLAND HIGH SCHOOL,MACON,GA,BIBB COUNTY,125013.00,Transformation
STEWART-QUITMAN HIGH SCHOOL,LUMPKIN,GA,STEWART COUNTY,688641.00,Transformation
NORTHEAST HIGH SCHOOL,MACON,GA,BIBB COUNTY,112362.00,Transformation
HAWKINSVILLE HIGH SCHOOL,HAWKINSVILLE,GA,PULASKI COUNTY,902342.00,Transformation
ATLANTA AREA SCHOOL FOR THE DEAF,CLARKSTON,GA,STATE SCHOOLS,663957.00,Transformation
HENRY COUNTY HIGH SCHOOL,MCDONOUGH,GA,HENRY COUNTY,140653.00,Transformation
CLARKSTON HIGH SCHOOL,CLARKSTON,GA,DEKALB COUNTY,876027.00,Transformation
WEEKS MIDDLE SCHOOL,DES MOINES,IA,DES MOINES INDEPENDENT COMM SCHOOL DISTRICT,18.00,Transformation
NORTH HIGH SCHOOL,DES MOINES,IA,DES MOINES INDEPENDENT COMM SCHOOL DISTRICT,2.00,Transformation
LINCOLN ELEMENTARY SCHOOL,WATERLOO,IA,WATERLOO COMM SCHOOL DISTRICT,,Transformation
HOYT MIDDLE SCHOOL,DES MOINES,IA,DES MOINES INDEPENDENT COMM SCHOOL DISTRICT,18.00,Transformation
JACK M LOGAN MIDDLE SCHOOL,WATERLOO,IA,WATERLOO COMM SCHOOL DISTRICT,761197.00,Transformation
EDMUNDS FINE ARTS ACADEMY,DES MOINES,IA,DES MOINES INDEPENDENT COMM SCHOOL DISTRICT,,Transformation
MURTAUGH MIDDLE SCHOOL,MURTAUGH,ID,MURTAUGH JOINT DISTRICT,209893.00,Transformation
FORT HALL ELEMENTARY SCHOOL,POCATELLO,ID,BLACKFOOT DISTRICT,,Transformation
MELBA MIDDLE SCHOOL,MELBA,ID,MELBA JOINT DISTRICT,,Transformation
LAKESIDE ELEMENTARY SCHOOL,WORLEY,ID,PLUMMER-WORLEY JOINT DISTRICT,,Transformation
SNAKE RIVER JR HIGH SCHOOL,BLACKFOOT,ID,SNAKE RIVER DISTRICT,,Transformation
JEFFERSON MIDDLE SCHOOL,CALDWELL,ID,CALDWELL DISTRICT,286787.00,Transformation
THORNWOOD HIGH SCHOOL,SOUTH HOLLAND,IL,THORNTON TWP HSD 205,170473.00,Transformation
MANUAL HIGH SCHOOL,PEORIA,IL,PEORIA SD 150,122159.00,Turnaround
MARSHALL METROPOLITAN HIGH SCHOOL,CHICAGO,IL,CITY OF CHICAGO SD 299,195114.00,Turnaround
EGYPTIAN SR HIGH SCHOOL,TAMMS,IL,EGYPTIAN CUSD 5,11848.00,Transformation
HARPER HIGH SCHOOL,CHICAGO,IL,CITY OF CHICAGO SD 299,198187.00,Turnaround
THORNTON TOWNSHIP HIGH SCHOOL,HARVEY,IL,THORNTON TWP HSD 205,170473.00,Transformation
DEPUE HIGH SCHOOL,DEPUE,IL,DEPUE USD 103,793604.00,Transformation
FENGER ACADEMY HIGH SCHOOL,CHICAGO,IL,CITY OF CHICAGO SD 299,185042.00,Turnaround
THORNRIDGE HIGH SCHOOL,DOLTON,IL,THORNTON TWP HSD 205,170473.00,Transformation
PHILLIPS ACADEMY HIGH SCHOOL,CHICAGO,IL,CITY OF CHICAGO SD 299,179737.00,Restart
BENDIX SCHOOL,SOUTH BEND,IN,SOUTH BEND COMMUNITY SCH CORP,113677.00,Transformation
GLENWOOD MIDDLE SCHOOL,EVANSVILLE,IN,EVANSVILLE-VANDERBURGH SCH CORP,199941.00,Transformation
GEORGE WASHINGTON COMMUNITY,INDIANAPOLIS,IN,INDIANAPOLIS PUBLIC SCHOOLS,198496.00,Turnaround
INDIANAPOLIS METROPOLITAN HIGH SCH,INDIANAPOLIS,IN,INDIANAPOLIS METROPOLITAN HIGH SCH,735737.00,Transformation
JOHN MARSHALL COMMUNITY HIGH SCH,INDIANAPOLIS,IN,INDIANAPOLIS PUBLIC SCHOOLS,191676.00,Turnaround
THE CHALLENGE FOUNDATION ACADEMY,INDIANAPOLIS,IN,CHALLENGE FOUNDATION ACADEMY,552282.00,Transformation
HAMMOND HIGH SCHOOL,HAMMOND,IN,SCHOOL CITY OF HAMMOND,199958.00,Turnaround
EMERSON ELEM,KANSAS CITY,KS,KANSAS CITY,108003.00,Turnaround
HIGHLAND PARK HIGH,TOPEKA,KS,TOPEKA PUBLIC SCHOOLS,197018.00,Transformation
SOUTH EAST HIGH,CHEROKEE,KS,CHEROKEE,764280.00,Transformation
LIBERAL  SOUTH MIDDLE,LIBERAL,KS,LIBERAL,180378.00,Transformation
NORTHWEST MIDDLE,KANSAS CITY,KS,KANSAS CITY,18984.00,Transformation
CURTIS MIDDLE SCHOOL,WICHITA,KS,WICHITA,1997.00,Transformation
WESTERN MIDDLE SCHOOL,LOUISVILLE,KY,JEFFERSON COUNTY,429176.00,Turnaround
VALLEY TRADITIONAL HIGH SCHOOL,LOUISVILLE,KY,JEFFERSON COUNTY,588932.00,Turnaround
METCALFE COUNTY HIGH SCHOOL,EDMONTON,KY,METCALFE COUNTY,433993.00,Transformation
SHAWNEE HIGH SCHOOL MAGNET CAREER ACADEM,LOUISVILLE,KY,JEFFERSON COUNTY,437283.00,Turnaround
FERN CREEK TRADITIONAL HIGH SCHOOL,LOUISVILLE,KY,JEFFERSON COUNTY,559459.00,Turnaround
LESLIE COUNTY HIGH SCHOOL,HYDEN,KY,LESLIE COUNTY,498795.00,Transformation
ROBERT FROST MIDDLE SCHOOL,VALLEY STATION,KY,JEFFERSON COUNTY,437283.00,Turnaround
CAVERNA HIGH SCHOOL,HORSE CAVE,KY,CAVERNA INDEPENDENT,395523.00,Transformation
LAWRENCE COUNTY HIGH SCHOOL,LOUISA,KY,LAWRENCE COUNTY,808211.00,Transformation
WESTERN MST MAGNET HIGH SCHOOL,LOUISVILLE,KY,JEFFERSON COUNTY,437283.00,Turnaround
SARAH TOWLES REED SENIOR HIGH SCHOOL,NEW ORLEANS,LA,RECOVERY SCHOOL DISTRICT-LDE,,Transformation
ASSUMPTION HIGH SCHOOL,NAPOLEONVILLE,LA,ASSUMPTION PARISH,,Transformation
CHELSEA HIGH,CHELSEA,MA,CHELSEA,748937.00,Transformation
THE ENGLISH HIGH,BOSTON,MA,BOSTON,927362.00,Transformation
ELIHU GREENWOOD,HYDE PARK,MA,BOSTON,427239.00,Transformation
ORCHARD GARDENS,ROXBURY,MA,BOSTON,110786.00,Turnaround
PAUL A DEVER,DORCHESTER,MA,BOSTON,863413.00,Turnaround
DEARBORN,ROXBURY,MA,BOSTON,420721.00,Transformation
HARBOR SCHOOL,BOSTON,MA,BOSTON,586623.00,Turnaround
JOHN P HOLLAND,DORCHESTER,MA,BOSTON,918500.00,Transformation
BLACKSTONE,BOSTON,MA,BOSTON,743593.00,Turnaround
M MARCUS KILEY MIDDLE,SPRINGFIELD,MA,SPRINGFIELD,767986.00,Transformation
WILLIAM MONROE TROTTER,DORCHESTER,MA,BOSTON,518312.00,Turnaround
JOHN F KENNEDY,JAMAICA PLAIN,MA,BOSTON,407794.00,Transformation
THURGOOD MARSHALL MIDDLE SCHOOL,TEMPLE HILLS,MD,PRINCE GEORGE'S COUNTY PUBLIC SCHOOLS,773922.00,Turnaround
WILLIAM C. MARCH MIDDLE,BALTIMORE,MD,BALTIMORE CITY PUBLIC SCHOOLS,956457.00,Restart
CHINQUAPIN MIDDLE,BALTIMORE,MD,BALTIMORE CITY PUBLIC SCHOOLS,465091.00,Restart
BENJAMIN STODDERT MIDDLE,TEMPLE HILLS,MD,PRINCE GEORGE'S COUNTY PUBLIC SCHOOLS,773922.00,Turnaround
AUGUSTA FELLS SAVAGE INSTITUTE OF VISUAL ARTS,BALTIMORE,MD,BALTIMORE CITY PUBLIC SCHOOLS,128848.00,Turnaround
CALVERTON,BALTIMORE,MD,BALTIMORE CITY PUBLIC SCHOOLS,177759.00,Restart
G. JAMES GHOLSON MIDDLE,LANDOVER,MD,PRINCE GEORGE'S COUNTY PUBLIC SCHOOLS,831888.00,Turnaround
GARRISON MIDDLE,BALTIMORE,MD,BALTIMORE CITY PUBLIC SCHOOLS,120707.00,Restart
BOOKER T. WASHINGTON MIDDLE,BALTIMORE,MD,BALTIMORE CITY PUBLIC SCHOOLS,928355.00,Turnaround
DREW FREEMAN MIDDLE,SUITLAND,MD,PRINCE GEORGE'S COUNTY PUBLIC SCHOOLS,773922.00,Turnaround
COMMODORE JOHN ROGERS ELEMENTARY,BALTIMORE,MD,BALTIMORE CITY PUBLIC SCHOOLS,102706.00,Restart
GOVERNOR JAMES B LONGLEY ELEM SCH,LEWISTON,ME,LEWISTON SCHOOL DEPARTMENT,,Turnaround
LAKE REGION HIGH SCHOOL,NAPLES,ME,MSAD 61,,Transformation
LIVERMORE FALLS HIGH SCHOOL,LIVERMORE FALLS,ME,MSAD 36,,Transformation
SUMNER MEMORIAL HIGH SCHOOL,SULLIVAN,ME,FLANDERS BAY CSD,,Transformation
RIVERTON SCHOOL,PORTLAND,ME,PORTLAND PUBLIC SCHOOLS,,Transformation
CARRABEC HIGH SCHOOL,NORTH ANSON,ME,MSAD 74,,Transformation
LESSENGER ELEMENTARY-MIDDLE SCHOOL,DETROIT,MI,DETROIT CITY SCHOOL DISTRICT,148488.00,Turnaround
E.A. JOHNSON MEMORIAL H.S.,MOUNT MORRIS,MI,MT. MORRIS CONSOLIDATED SCHOOLS,679699.00,Transformation
BUCHANAN HIGH SCHOOL,BUCHANAN,MI,BUCHANAN COMMUNITY SCHOOLS,121632.00,Transformation
WESTWOOD MIDDLE SCHOOL,GRAND RAPIDS,MI,GRAND RAPIDS PUBLIC SCHOOLS,171133.00,Turnaround
ALGER MIDDLE SCHOOL,GRAND RAPIDS,MI,GRAND RAPIDS PUBLIC SCHOOLS,171133.00,Turnaround
WALDRON MIDDLE SCHOOL,WALDRON,MI,WALDRON AREA SCHOOLS,273500.00,Transformation
WHITE ELEMENTARY SCHOOL,HAMTRAMCK,MI,DETROIT CITY SCHOOL DISTRICT,122853.00,Transformation
ARTHUR HILL HIGH SCHOOL,SAGINAW,MI,SAGINAW CITY SCHOOL DISTRICT,164933.00,Transformation
MT. CLEMENS HIGH SCHOOL,MOUNT CLEMENS,MI,MT. CLEMENS COMMUNITY SCHOOL DISTRICT,751945.00,Transformation
ADRIAN HIGH SCHOOL,ADRIAN,MI,ADRIAN CITY SCHOOL DISTRICT,948838.00,Transformation
UNION HIGH SCHOOL,GRAND RAPIDS,MI,GRAND RAPIDS PUBLIC SCHOOLS,190709.00,Transformation
LEE HIGH SCHOOL,WYOMING,MI,GODFREY-LEE PUBLIC SCHOOLS,894861.00,Transformation
LINCOLN HIGH SCHOOL,WARREN,MI,VAN DYKE PUBLIC SCHOOLS,416177.00,Transformation
SOUTHWESTERN HIGH SCHOOL,DETROIT,MI,DETROIT CITY SCHOOL DISTRICT,135109.00,Turnaround
ROMULUS MIDDLE SCHOOL,ROMULUS,MI,ROMULUS COMMUNITY SCHOOLS,199852.00,Transformation
FARWELL MIDDLE SCHOOL,DETROIT,MI,DETROIT CITY SCHOOL DISTRICT,602552.00,Turnaround
INKSTER HIGH SCHOOL,INKSTER,MI,SCHOOL DISTRICT OF THE CITY OF INKSTER,16228.00,Turnaround
WESTON PREPARATORY ACADEMY,DETROIT,MI,WESTON PREPARATORY ACADEMY,704180.00,Transformation
OTTAWA HILLS HIGH SCHOOL,GRAND RAPIDS,MI,GRAND RAPIDS PUBLIC SCHOOLS,190709.00,Transformation
FITZGERALD SENIOR HIGH SCHOOL,WARREN,MI,FITZGERALD PUBLIC SCHOOLS,447461.00,Transformation
SPRINGPORT HIGH SCHOOL,SPRINGPORT,MI,SPRINGPORT PUBLIC SCHOOLS,774100.00,Transformation
NOLAN ELEMENTARY SCHOOL,HIGHLAND PARK,MI,DETROIT CITY SCHOOL DISTRICT,121554.00,Transformation
OAK PARK HIGH SCHOOL,OAK PARK,MI,OAK PARK CITY SCHOOL DISTRICT,196658.00,Turnaround
BUENA VISTA HIGH SCHOOL,SAGINAW,MI,BUENA VISTA SCHOOL DISTRICT,815637.00,Transformation
GRANT HIGH SCHOOL,GRANT,MI,GRANT PUBLIC SCHOOL DISTRICT,552326.00,Transformation
GERALD R. FORD MIDDLE SCHOOL,GRAND RAPIDS,MI,GRAND RAPIDS PUBLIC SCHOOLS,144344.00,Turnaround
PHOENIX ELEMENTARY,DETROIT,MI,DETROIT CITY SCHOOL DISTRICT,811102.00,Turnaround
THOMPSON MIDDLE SCHOOL,SAGINAW,MI,SAGINAW CITY SCHOOL DISTRICT,125917.00,Transformation
WELLSTONE INTERNATIONAL HIGH,MINNEAPOLIS,MN,MINNEAPOLIS PUBLIC SCHOOL DIST.,528276.00,Transformation
EDISON SENIOR HIGH,MINNEAPOLIS,MN,MINNEAPOLIS PUBLIC SCHOOL DIST.,878276.00,Turnaround
CASS LAKE-BENA SECONDARY,CASS LAKE,MN,CASS LAKE-BENA PUBLIC SCHOOLS,529518.00,Transformation
MAXFIELD MAGNET ELEMENTARY,ST. PAUL,MN,ST. PAUL PUBLIC SCHOOL DISTRICT,600000.00,Transformation
NORTH VIEW IB WORLD SCHOOL,BROOKLYN PARK,MN,OSSEO PUBLIC SCHOOL DISTRICT,850000.00,Transformation
BETHUNE ELEMENTARY,MINNEAPOLIS,MN,MINNEAPOLIS PUBLIC SCHOOL DIST.,528276.00,Transformation
BROOKLYN CENTER SECONDARY,BROOKLYN CENTER,MN,BROOKLYN CENTER SCHOOL DISTRICT,700000.00,Transformation
HUMBOLDT SENIOR HIGH,ST. PAUL,MN,ST. PAUL PUBLIC SCHOOL DISTRICT,850000.00,Turnaround
OGILVIE SECONDARY,OGILVIE,MN,OGILVIE PUBLIC SCHOOL DISTRICT,561111.00,Transformation
BROADWAY ARTS & TECHNOLOGY,MINNEAPOLIS,MN,MINNEAPOLIS PUBLIC SCHOOL DIST.,403276.00,Transformation
ISLE SECONDARY,ISLE,MN,ISLE PUBLIC SCHOOL DISTRICT,500000.00,Transformation
BRAHAM AREA SECONDARY,BRAHAM,MN,BRAHAM PUBLIC SCHOOL DISTRICT,658042.00,Transformation
RED LAKE SENIOR HIGH,RED LAKE,MN,RED LAKE PUBLIC SCHOOL DISTRICT,561543.00,Transformation
HMONG INTERNATIONAL ACADEMY,MINNEAPOLIS,MN,MINNEAPOLIS PUBLIC SCHOOL DIST.,528276.00,Transformation
LUCY LANEY @ CLEVELAND PARK ELEM.,MINNEAPOLIS,MN,MINNEAPOLIS PUBLIC SCHOOL DIST.,728276.00,Turnaround
EAST CENTRAL SENIOR SECONDARY,FINLAYSON,MN,EAST CENTRAL SCHOOL DISTRICT,500237.00,Transformation
WAUBUN SECONDARY,WAUBUN,MN,WAUBUN PUBLIC SCHOOL DISTRICT,700000.00,Transformation
NEW VISIONS CHARTER SCHOOL,MINNEAPOLIS,MN,NEW VISIONS CHARTER SCHOOL,556636.00,Transformation
PONEMAH ELEMENTARY,PONEMAH,MN,RED LAKE PUBLIC SCHOOL DISTRICT,471654.00,Transformation
NORMANDY MIDDLE,ST LOUIS,MO,NORMANDY,425300.00,Transformation
COLUMBIA ELEM. COMM. ED. CTR.,ST LOUIS,MO,ST. LOUIS CITY,356608.00,Turnaround
CENTRAL HIGH,KANSAS CITY,MO,KANSAS CITY 33,806900.00,Transformation
MANN ELEM.,ST LOUIS,MO,ST. LOUIS CITY,380419.00,Turnaround
EAST MIDDLE,ST LOUIS,MO,HAZELWOOD,172251.00,Turnaround
HAMILTON ELEM. COMMUNITY ED.,ST LOUIS,MO,ST. LOUIS CITY,363928.00,Turnaround
CARUTHERSVILLE MIDDLE,CARUTHERSVILLE,MO,CARUTHERSVILLE 18,379564.00,Transformation
R. G. CENTRAL MIDDLE,ST LOUIS,MO,RIVERVIEW GARDENS,199415.00,Turnaround
GENESIS SCHOOL INC.,KANSAS CITY,MO,GENESIS SCHOOL INC.,250120.00,Turnaround
WALBRIDGE ELEM. COMMUNITY ED.,ST LOUIS,MO,ST. LOUIS CITY,377942.00,Turnaround
JENNINGS JR. HIGH,JENNINGS,MO,JENNINGS,364226.00,Transformation
LANGSTON MIDDLE,ST LOUIS,MO,ST. LOUIS CITY,436579.00,Transformation
